keyword,location,page,position,company,companyRating,companyReviewCount,highlyRatedEmployer,jobkey,jobTitle,jobLocationCity,jobLocationPostal,jobLocationState,maxSalary,minSalary,salaryType,pubDate,jobDescription
software engineer,California,1,0,Lonza,3.4,533,,4d06d1405c981ac4,Principal Automation Engineer,Hayward,,CA,0,0,none,1665982800000,
software engineer,California,1,1,Northrop Grumman,4,6909,,89d37919d219d9e0,Principal Engineer Software/ Sr. Prinicpal Engineer Software (Palmdale),Palmdale,93550,CA,0,0,none,1692939600000,
software engineer,California,1,2,Comcast,3.6,18559,,c551dc1b9f3228bb,"Engineer 4, Software Development & Engineering",Sunnyvale,94089,CA,0,0,none,1682485200000,
software engineer,California,1,3,Booz Allen Hamilton,3.9,2502,,2efae6879053b9e1,NetApp Engineer,San Diego,92108,CA,0,0,none,1683781200000,
software engineer,California,1,4,Applied Medical,3.1,298,,5bd6cefb24aed722,Software Engineer - AI/NLP Engineer,Rancho Santa Margarita,92688,CA,0,0,none,1693976400000,
software engineer,California,1,5,Adobe,4.3,776,,5464c1565510e0f3,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694581200000,
software engineer,California,1,6,Adobe,4.3,776,,37750b64dc261066,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694667600000,
software engineer,California,1,7,Adobe,4.3,776,,5ce0aef0c0888fe8,2024 University Graduate - Software Development Engineer 1,San Jose,95110,CA,0,0,none,1693371600000,
software engineer,California,1,8,Adobe,4.3,776,,36ea9a57f840ace0,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694754000000,
software engineer,California,1,9,Adobe,4.3,776,,094839f57349a8a6,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694754000000,
software engineer,California,1,10,VoxTech LLC,0,0,,f4f90005e31cfcb3,PeopleSoft Developer,San Bernardino,,CA,0,0,none,1693198800000,
software engineer,California,1,11,Adobe,4.3,776,,db730803350e6744,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694062800000,
software engineer,California,1,12,Adobe,4.3,776,,242db85f4eda3990,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694149200000,
software engineer,California,1,13,Verkada,3.3,9,,a3ea45daca754815,Frontend Software Engineer - University Graduate 2024,San Mateo,,CA,0,0,none,1693285200000,
software engineer,California,1,14,Raytheon,3.9,1399,,f09a837a358812a7,Senior Principal Software Engineer (Onsite),El Segundo,90245,CA,0,0,none,1691643600000,
software engineer,California,5,0,Nektar,2.8,6,,d2a25467a9bdda39,Software Development Engineer - Backend,San Francisco,,CA,116274.445,91827.79,116274.445,1666933200000,
software engineer,California,5,1,Adobe,4.3,776,,a3edee0fccd07191,"Photoshop Software Development Engineer, C++",San Jose,95110,CA,0,0,none,1693285200000,
software engineer,California,5,2,LeewayHertz,0,0,,94c64afd4e91aa73,Trainee - Software Developer,San Francisco,94111,CA,122927.11,97081.734,122927.11,1626066000000,
software engineer,California,5,3,Anthropic,0,0,,bc69f056e5193f01,"Software Engineer, Internal Tools",San Francisco,,CA,88705.66,70055.33,88705.66,1694408400000,
software engineer,California,5,4,TikTok,3.5,153,,a346751c5eaefb1a,Frontend Software Engineer Graduate (Trust and Safety Engineering) - 2024 Start (BS/MS),San Jose,,CA,0,0,none,1691730000000,
software engineer,California,5,5,TikTok,3.5,153,,2d282ef246031a60,Software Engineer Graduate (Monetization Technology - Creative and Ecosystem)- 2024 Start (BS/MS),San Jose,,CA,0,0,none,1692853200000,
software engineer,California,5,6,LiveRamp,3.3,4,,510fd121efa5f0a3,Software Engineer,San Francisco,,CA,0,0,none,1693458000000,
software engineer,California,5,7,Apple,4.1,12265,,fe38d9bbae7b610f,Junior Software Development Engineer - Apple Vision Pro,Cupertino,,CA,0,0,none,1680930000000,
software engineer,California,5,8,"Zoom Video Communications, Inc.",3.8,21,,53f18c02cb0fb5eb,Software Development Engineer,San Jose,95113,CA,0,0,none,1694581200000,
software engineer,California,5,9,Oracle,3.8,6958,,b804628d021366c8,C++ Senior Software Engineer,Santa Clara,95054,CA,167911.9,132608.5,167911.9,1694667600000,
software engineer,California,5,10,Netflix,3.9,751,,4aeb65b0c7359cae,Software Engineer (L5) - Streaming Algorithms,Los Gatos,,CA,140418.66,110895.695,140418.66,1694408400000,
software engineer,California,5,11,Apple,4.1,12265,,42b0e8b86c42658a,Software Engineer - Big Data Technologies,San Diego,,CA,0,0,none,1694235600000,
software engineer,California,5,12,Cisco Systems,4.1,6310,,cf7d56a7ef48276c,Software Engineer I (Co-Op) United States,San Jose,,CA,128868.36,101773.84,128868.36,1690952400000,
software engineer,California,5,13,TikTok,3.5,153,,a6372dd32a50e7bf,Software Engineer Graduate (Monetization Technology - Apps Ads & Gaming) - 2024 Start (BS/MS/PhD),San Jose,,CA,0,0,none,1692766800000,
software engineer,California,5,14,Neuralink,0,0,,aa4dca6ed5ec2319,"Software Engineer, Robotics",Fremont,,CA,0,0,none,1693198800000,
software engineer,California,6,0,Apple,4.1,12265,,b440fb631a4e2b00,Location Software Engineer,San Diego,,CA,0,0,none,1692766800000,
software engineer,California,6,1,Panasonic Avionics Corporation,3.5,356,,b3da6d614b09e2de,"MTS I, Software Engineer",Irvine,92612,CA,100050.98,79015.305,100050.98,1691038800000,
software engineer,California,6,2,Nektar,2.8,6,,d2a25467a9bdda39,Software Development Engineer - Backend,San Francisco,,CA,116274.445,91827.79,116274.445,1666933200000,
software engineer,California,6,3,Whatnot,3,2,,146b4976169e8072,"Software Engineer, Community",Los Angeles,,CA,0,0,none,1690174800000,
software engineer,California,6,4,Adobe,4.3,776,,a3edee0fccd07191,"Photoshop Software Development Engineer, C++",San Jose,95110,CA,0,0,none,1693285200000,
software engineer,California,6,5,Sparrow,0,0,,614f996ab98b3bb3,Software Engineer,San Francisco,94110,CA,127294.12,100530.586,127294.12,1694581200000,
software engineer,California,6,6,LeewayHertz,0,0,,94c64afd4e91aa73,Trainee - Software Developer,San Francisco,94111,CA,122927.11,97081.734,122927.11,1626066000000,
software engineer,California,6,7,Anthropic,0,0,,bc69f056e5193f01,"Software Engineer, Internal Tools",San Francisco,,CA,88705.66,70055.33,88705.66,1694408400000,
software engineer,California,6,8,TikTok,3.5,153,,a346751c5eaefb1a,Frontend Software Engineer Graduate (Trust and Safety Engineering) - 2024 Start (BS/MS),San Jose,,CA,0,0,none,1691730000000,
software engineer,California,6,9,TikTok,3.5,153,,2d282ef246031a60,Software Engineer Graduate (Monetization Technology - Creative and Ecosystem)- 2024 Start (BS/MS),San Jose,,CA,0,0,none,1692853200000,
software engineer,California,6,10,LiveRamp,3.3,4,,510fd121efa5f0a3,Software Engineer,San Francisco,,CA,0,0,none,1693458000000,
software engineer,California,6,11,Apple,4.1,12265,,fe38d9bbae7b610f,Junior Software Development Engineer - Apple Vision Pro,Cupertino,,CA,0,0,none,1680930000000,
software engineer,California,6,12,Oracle,3.8,6958,,b804628d021366c8,C++ Senior Software Engineer,Santa Clara,95054,CA,167911.9,132608.5,167911.9,1694667600000,
